Denumire medicament,Substanta activa,Lista de compensare,Cod medicament,Formă farmaceutica,Cod ATC,Mod de prescriere,Concentratie,Forma de ambalare,Nume detinator APP,Tara detinator APP,Cantitate pe forma ambalare,Preț maximal al medicamentului raportat la forma de ambalare,Pret maximal al medicamentului raportat la UT,"Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 100% din prețul de referinta","Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiaza de compensare 90% - sublista A, 50% - sublista B, 20% - sublista D din prețul de referinta","Contribuție maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 90% din pretul de referinta, pentru pensionari cu venituri de pana la 1.299 lei/luna inclusiv"
TAMIFLU 30mg,OSELTAMIVIRUM,C2,W52316001,CAPS.,J05AH02,P-RF,30mg,CUTIE X 1BLISTER PVC/PE/PVDC/ALX 10 CAPSULE,ROCHE REGISTRATION LTD.,MAREA BRITANIE,10,4660,4660000,0905200,0905200,
TAMIFLU 30 mg,OSELTAMIVIRUM,C2,W64406001,CAPS.,J05AH02,PRF,30mg,CUTIE X 1 BLISTER PVC/PE/PVDC/AL X 10 CAPSULE,ROCHE REGISTRATION GMBH,GERMANIA,10,4660,4660000,0905200,0905200,
SEGOSANA 30 mg,OSELTAMIVIRUM,C2,W66870001,CAPS.,J05AH02,PRF,30mg,CUTIE CU BLISTER DIN PVC-PE-PVDC/ AL X 10 CAPSULE,ZENTIVA KS,REPUBLICA CEHA,10,3129,3129000,0000000,0000000,
TAMIFLU 75 mg,OSELTAMIVIRUM,C2,W13633001,CAPS.,J05AH02,P-RF,75mg,CUTIE X 1BLISTER PVC/PE/PVDC/AL X 10 CAPSULE,ROCHE REGISTRATION LTD.,MAREA BRITANIE,10,8138,8138000,1452800,1452800,
TAMIFLU 75 mg,OSELTAMIVIRUM,C2,W64405001,CAPS.,J05AH02,PRF,75mg,CUTIE X 1 BLISTER PVC/PE/PVDC/AL X 10 CAPSULE,ROCHE REGISTRATION GMBH,GERMANIA,10,8138,8138000,1452800,1452800,
EBILFUMIN 75 mg,OSELTAMIVIRUM,C2,W66561001,CAPS.,J05AH02,PRF,75mg,CUTIE CU BLIST. DIN PVC/PE/PVDC/AL X 10 CAPS.,ACTAVIS GROUP PTC EHF.,ISLANDA,10,5571,5571000,0000000,0000000,
SEGOSANA 75 mg,OSELTAMIVIRUM,C2,W66872001,CAPS.,J05AH02,PRF,75mg,CUTIE CU BLISTER DIN PVC-PE-PVDC/ AL X 10 CAPSULE,ZENTIVA KS,REPUBLICA CEHA,10,5571,5571000,0000000,0000000,
"ALPHA D3 0,25 mcg",ALFACALCIDOLUM,C2,W00231001,CAPS. MOI,A11CC03,P-RF,"0,25mcg",CUTIE X 1 FLAC. DIN PPID X 50 CAPS. MOI,TEVA PHARMACEUTICALS S.R.L.,ROMANIA,50,3109,0621800,0000000,0000000,
"ALPHA D3 0,25 micrograme",ALFACALCIDOLUM,C2,W67321001,CAPS. MOI,A11CC03,PRF,"0,25micrograme",CUTIE CU 1 FLAC. DIN PPID X 50 CAPS. MOI,THERAMEX IRELAND LIMITED,IRLANDA,50,3109,0621800,0000000,0000000,
"ALFACALCIDOL SANDOZ 0,25 mcg",ALFACALCIDOLUM,C2,W58167002,CAPS. MOI,A11CC03,PRF,"0,25µg",CUTIE CU BLIST. PVC/PVDC-AL X 30 CAPS. MOI,SANDOZ S.R.L.,ROMANIA,30,2461,0820333,0074173,0074173,
"ALPHA D3 0,50 mcg",ALFACALCIDOLUM,C2,W44042001,CAPS. MOI,A11CC03,P-RF,"0,50mcg",CUTIE X 1 FLAC. X 30 CAPS. MOI,TEVA PHARMACEUTICALS S.R.L.,ROMANIA,30,3643,1214333,0000000,0000000,
"ALPHA D3 0,50 micrograme",ALFACALCIDOLUM,C2,W67323001,CAPS. MOI,A11CC03,PRF,"0,50micrograme",CUTIE CU 1 FLAC. DIN PPID X 30 CAPS. MOI,THERAMEX IRELAND LIMITED,IRLANDA,30,3643,1214333,0000000,0000000,
"ALFACALCIDOL HEATON 0,50 micrograme",ALFACALCIDOLUM,C2,W65339001,CAPS. MOI,A11CC03,PRF,"0,50micrograme",CUTIE CU 1 FLAC. DIN PEID X 30 CAPS. MOI,HEATON K.S.,REPUBLICA CEHA,30,3643,1214333,0000000,0000000,
"ALFACALCIDOL SANDOZ 0,5 mcg",ALFACALCIDOLUM,C2,W58168002,CAPS. MOI,A11CC03,PRF,"0,5µg",CUTIE CU BLIST. PVC/PVDC-AL X 30 CAPS. MOI,SANDOZ S.R.L.,ROMANIA,30,3643,1214333,0000000,0000000,
ONE-ALPHA 2 micrograme/ml,ALFACALCIDOLUM,C2,W55847002,SOL. INJ.,A11CC03,PR,2micrograme/ml,CUTIE CU 10 FIOLE DIN STICLA BRUNA X 1 ML SOL. INJ.,LEO PHARMA A/S,DANEMARCA,10,27372,27372000,0000000,0000000,
ONE-ALPHA 2 micrograme/ml,ALFACALCIDOLUM,C2,W55847001,SOL. INJ.,A11CC03,PR,2micrograme/ml,"CUTIE CU 10 FIOLE DIN STICLA BRUNA X 0,5 ML SOL. INJ.",LEO PHARMA A/S,DANEMARCA,10,14350,14350000,0000000,0000000,
HEPARINA GALENIKA 5000 UI/ml,HEPARINUM,C2,W62870001,SOL. INJ.,B01AB01,PR,5000UI/ml,CUTIE CU 5 FIOLE DIN STICLA INCOLORA X 1 ML SOLUTIE INJECTABILA,MESFARMA SRL,ROMANIA,5,2373,4746000,0000000,0000000,
HEPARINA SODICA PANPHARMA 5000 UI/ml,HEPARINUM,C2,W61666001,SOL. INJ.,B01AB01,PR,5000UI/ml,CUTIE CU 10 FLAC. DIN STICLA INCOLORA X 5 ML SOL. INJ.,PANPHARMA,FRANTA,10,13989,13989000,0000000,0000000,
HEPARINA GALENIKA 5000 UI/ml,HEPARINUM,C2,W62870002,SOL. INJ.,B01AB01,PR,5000UI/ml,CUTIE CU 10 FIOLE DIN STICLA INCOLORA X 5 ML SOLUTIE INJECTABILA,MESFARMA SRL,ROMANIA,10,13989,13989000,0000000,0000000,
HEPARIN-BELMED 5000 UI/ml,HEPARINUM,C2,W66221001,SOL. INJ.,B01AB01,PR,5000UI/ml,CUTIE CU 5 FLAC. X 5 ML SOL. INJ.,C.N. UNIFARM S.A.,ROMANIA,5,18301,36602000,19815200,19815200,
"CLEXANE 2000 UI (20 mg)/0,2 ml",ENOXAPARINUM,C2,W63590012,SOL. INJ. IN SERINGA PREUMPLUTA,B01AB05,PR/PRF,"2000UI(20mg)/0,2ml",CUTIE CU 10 SERINGI PREUMPLUTE (STICLA TIP I) ASAMBLATE CU DOP DIN CAUCIUC (CLOROBUTILIC SAU BROMOBUTILIC) SI AC DE INJECTIE,SANOFI ROMANIA S.R.L.,ROMANIA,10,7810,7810000,0000000,0000000,
"CLEXANE 4000 UI (40 mg)/0,4 ml",ENOXAPARINUM,C2,W63591012,SOL. INJ. IN SERINGA PREUMPLUTA,B01AB05,PR/PRF,"4000UI(40mg)/0,4ml",CUTIE CU 10 SERINGI PREUMPLUTE (STICLA TIP I) ASAMBLATE CU DOP DIN CAUCIUC (CLOROBUTILIC SAU BROMOBUTILIC) SI AC DE INJECTIE,SANOFI ROMANIA S.R.L.,ROMANIA,10,13660,13660000,0000000,0000000,
"CLEXANE 6000 UI (60 mg)/0,6 ml",ENOXAPARINUM,C2,W63592012,SOL. INJ. IN SERINGA PREUMPLUTA,B01AB05,PR/PRF,"6000UI(60mg)/0,6ml",CUTIE CU 10 SERINGI PREUMPLUTE (STICLA TIP I) ASAMBLATE CU DOP DIN CAUCIUC (CLOROBUTILIC SAU BROMOBUTILIC) SI AC DE INJECTIE,SANOFI ROMANIA S.R.L.,ROMANIA,10,16736,16736000,0000000,0000000,
"CLEXANE 8000 UI (80 mg)/0,8 ml",ENOXAPARINUM,C2,W63593009,SOL. INJ. IN SERINGA PREUMPLUTA,B01AB05,PR/PRF,"8000UI(80mg)/0,8ml",CUTIE CU 6 SERINGI PREUMPLUTE (STICLA TIP I) ASAMBLATE CU DOP DIN CAUCIUC (CLOROBUTILIC SAU BROMOBUTILIC) SI AC DE INJECTIE,SANOFI ROMANIA S.R.L.,ROMANIA,6,13268,22113333,0000000,0000000,
"FRAXIPARINE 3800 UI anti-factor Xa/0,4 ml",NADROPARINUM,C2,W61293001,SOL. INJ.,B01AB06,S/P-RF,"3800 ui AFXa/0,4ml","CUTIE CU 10 SERINGI PREUMPLUTE DIN STICLA X 0,4 ML SOL. INJ.",ASPEN PHARMA TRADING LIMITED,IRLANDA,10,9106,9106000,0000000,0000000,
"FRAXIPARINE 5700 UI anti-factor Xa/0,6 ml",NADROPARINUM,C2,W61291001,SOL. INJ.,B01AB06,S/P-RF,"5700 ui AFXa/0,6ml","CUTIE CU 10 SERINGI PREUMPLUTE DIN STICLA X 0,6 ML SOL. INJ.",ASPEN PHARMA TRADING LIMITED,IRLANDA,10,13585,13585000,0000000,0000000,
"FRAXIPARINE 7600 UI anti-factor Xa/0,8 ml",NADROPARINUM,C2,W61292001,SOL. INJ.,B01AB06,S/P-RF,"7600 ui AFXa/0,8ml","CUTIE CU 10 SERINGI PREUMPLUTE DIN STICLA X 0,8 ML SOL. INJ.",ASPEN PHARMA TRADING LIMITED,IRLANDA,10,17402,17402000,0000000,0000000,
INNOHEP 10000 UI ANTI-XA/ml,TINZAPARINUM,C2,W59473001,SOL. INJ. IN FLACOANE,B01AB10,PR/PRF,10000UI anti-XA/ml,"CUTIE CU 10 FLAC. DIN STICLA INCOLORA X 2 ML (20000 UI ANTI-XA) SOL. INJ., CU DOP DE CAUCIUC DE CULOARE CENUSIE DESCHIS, ARMATURA DE ETANSARE DIN AL LACUIT IN AURIU SI CAPSA DE SIGURANTA DIN PP DE CULOARE PORTOCALIE",LEO PHARMA A/S,DANEMARCA,10,55574,55574000,0000000,0000000,
INNOHEP 20000 UI ANTI-Xa/ml,TINZAPARINUM,C2,W59475001,SOL. INJ. IN FLACOANE,B01AB10,PR/PRF,20000 UI anti-Xa/ml,"CUTIE CU 10 FLAC. DIN STICLA INCOLORA X 2 ML (40000 UI ANTI-XA) SOL. INJ., CU DOP DE CAUCIUC DE CULOARE CENUSIE DESCHIS, ARMATURA DE ETANSARE DIN AL LACUIT CU LAC DE CULOARE VERDE SI CAPSA DE SIGURANTA DIN PP DE CULOARE VERDE INCHIS",LEO PHARMA A/S,DANEMARCA,10,"1.192,79",119279000,0000000,0000000,
VENOFER (R),COMPLEX DE HIDROXID DE FER (III) SUCROZA,C2,W51230001,SOL. INJ./PERF.,B03AC02,S/P-RF,20mg/ml,CUTIE X 5 FIOLE X 5 ML,VIFOR FRANCE S.A.,FRANTA,5,28887,57774000,0000000,0000000,
"BINOCRIT 2000UI/1,0ml",EPOETINUM ALFA,C2,W52283002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"2000UI/1,0ml",CUTIE X 6 SERINGI PREUMPLUTE X 1ML SOL. INJ.,SANDOZ GMBH,AUSTRIA,6,29091,48485000,0000000,0000000,
"BINOCRIT 30000UI/0,75ml",EPOETINUM ALFA,C2,W55046001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,P-RF/R,"30000UI/0,75ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,75ML SOL. INJ.",SANDOZ GMBH,AUSTRIA,1,47396,473960000,0000000,0000000,
EPREX 40000 UI/ml,EPOETINUM ALFA,C2,W57497004,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,40 000UI/ml,CUTIE CU 1 SERINGA PREUMPLUTA X 1 ML SOL. INJ.,JOHNSON & JOHNSON D.O.O.,SLOVENIA,1,"1.156,23","1.156,230000",420066000,420066000,
BINOCRIT 40000 UI/1 ml,EPOETINUM ALFA,C2,W55048001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,P-RF/R,40000 UI/1 ml,CUTIE X 1 SERINGA PREUMPLUTA X 1ML SOL. INJ.,SANDOZ GMBH,AUSTRIA,1,61347,613470000,0000000,0000000,
"BINOCRIT 4000UI/0,4ml",EPOETINUM ALFA,C2,W52285002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"4000UI/0,4ml","CUTIE X 6 SERINGI PREUMPLUTE X 0,4ML SOL. INJ.",SANDOZ GMBH,AUSTRIA,6,54697,91161666,0000000,0000000,
"NEORECORMON 10000 UI/0,6ml",EPOETINUM BETA,C2,W64395002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"10000UI/0,6ml","CUTIE X 6 SERINGI PREUMPLUTE X 0,6 ML SOL. INJ. + 6 ACE",ROCHE REGISTRATION GMBH,GERMANIA,6,"1.697,29",282881666,0000000,0000000,
"NEORECORMON 2000 UI/0,3ml",EPOETINUM BETA,C2,W64396002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"2000UI/0,3ml","CUTIE X 6 SERINGI PREUMPLUTE X 0,3 ML SOL. INJ. X 6 ACE",ROCHE REGISTRATION GMBH,GERMANIA,6,29770,49616666,0000000,0000000,
"NEORECORMON 30000 UI/0,6ml",EPOETINUM BETA,C2,W64397001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"30000 UI/0,6ml","CUTIE X 1 SERINGA PRE-UMPLUTA X 0,6 ML + 1 AC",ROCHE REGISTRATION GMBH,GERMANIA,1,90680,906800000,0000000,0000000,
"NEORECORMON 4000 UI/0,3ml",EPOETINUM BETA,C2,W64398002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"4000UI/0,3ml","CUTIE X 6 SERINGI PREUMPLUTE X 0,3 ML SOL. INJ. + 6 ACE",ROCHE REGISTRATION GMBH,GERMANIA,6,54697,91161666,0000000,0000000,
"NEORECORMON 5000 UI/0,3ml",EPOETINUM BETA,C2,W64399002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"5000UI/0,3ml","CUTIE X 6 SERINGI PREUMPLUTE X 0,3 ML SOL. INJ. + 6 ACE",ROCHE REGISTRATION GMBH,GERMANIA,6,77561,129268333,0000000,0000000,
"RETACRIT 10000UI/1,0ml",EPOETINUM ZETA,C2,W64987001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"10000UI/1,0ml",CUTIE X 1 SERINGA PREUMPLUTA X 1 ML SOL. INJ.,PFIZER EUROPE MA EEIG,BELGIA,1,23547,235470000,0000000,0000000,
"RETACRIT 10000UI/1,0ml",EPOETINUM ZETA,C2,W60969001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"10000UI/1,0ml",CUTIE X 1 SERINGA PREUMPLUTA X 1ML SOL. INJ.,HOSPIRA UK LIMITED,MAREA BRITANIE,1,23547,235470000,0000000,0000000,
"RETACRIT 2000UI/0,6ml",EPOETINUM ZETA,C2,W64990001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"2000UI/0,6ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,6 ML SOL. INJ.",PFIZER EUROPE MA EEIG,BELGIA,1,5444,54440000,0000000,0000000,
"RETACRIT 2000UI/0,6ml",EPOETINUM ZETA,C2,W60964001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"2000UI/0,6ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,6ML SOL. INJ.",HOSPIRA UK LIMITED,MAREA BRITANIE,1,5444,54440000,0000000,0000000,
"RETACRIT 30000UI/0,75ml",EPOETINUM ZETA,C2,W60967001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"30000UI/0,75ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,75ML SOL. INJ.",HOSPIRA UK LIMITED,MAREA BRITANIE,1,51400,514000000,0000000,0000000,
"RETACRIT 30000UI/0,75ml",EPOETINUM ZETA,C2,W64991001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"30000UI/0,75ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,75 ML SOL. INJ.",PFIZER EUROPE MA EEIG,BELGIA,1,51400,514000000,0000000,0000000,
"RETACRIT 3000UI/0,9ml",EPOETINUM ZETA,C2,W64992001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"3000UI/0,9ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,9 ML SOL. INJ.",PFIZER EUROPE MA EEIG,BELGIA,1,7755,77550000,0000000,0000000,
"RETACRIT 3000UI/0,9ml",EPOETINUM ZETA,C2,W60965001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"3000UI/0,9ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,9ML SOL. INJ.",HOSPIRA UK LIMITED,MAREA BRITANIE,1,7755,77550000,0000000,0000000,
"RETACRIT 40000UI/1,0ml",EPOETINUM ZETA,C2,W64993001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"40000UI/1,0ml",CUTIE X 1 SERINGA PREUMPLUTA X 1 ML SOL. INJ.,PFIZER EUROPE MA EEIG,BELGIA,1,60753,607530000,0000000,0000000,
"RETACRIT 40000UI/1,0ml",EPOETINUM ZETA,C2,W60966001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"40000UI/1,0ml",CUTIE X 1 SERINGA PREUMPLUTA X 1ML SOL. INJ.,HOSPIRA UK LIMITED,MAREA BRITANIE,1,60753,607530000,0000000,0000000,
"RETACRIT 4000UI/0,4ml",EPOETINUM ZETA,C2,W64994001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"4000UI/0,4ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,4 ML SOL. INJ.",PFIZER EUROPE MA EEIG,BELGIA,1,10339,103390000,0000000,0000000,
"RETACRIT 4000UI/0,4ml",EPOETINUM ZETA,C2,W60973001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"4000UI/0,4ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,4ML SOL. INJ.",HOSPIRA UK LIMITED,MAREA BRITANIE,1,10339,103390000,0000000,0000000,
"RETACRIT 5000UI/0,5ml",EPOETINUM ZETA,C2,W64995001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"5000UI/0,5ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,5 ML SOL. INJ.",PFIZER EUROPE MA EEIG,BELGIA,1,12481,124810000,0000000,0000000,
"RETACRIT 5000UI/0,5ml",EPOETINUM ZETA,C2,W60972001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"5000UI/0,5ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,5ML SOL. INJ.",HOSPIRA UK LIMITED,MAREA BRITANIE,1,12481,124810000,0000000,0000000,
"RETACRIT 6000UI/0,6ml",EPOETINUM ZETA,C2,W64996001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"6000UI/0,6ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,6 ML SOL. INJ.",PFIZER EUROPE MA EEIG,BELGIA,1,14709,147090000,0000000,0000000,
"RETACRIT 6000UI/0,6ml",EPOETINUM ZETA,C2,W60971001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"6000UI/0,6ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,6ML SOL. INJ.",HOSPIRA UK LIMITED,MAREA BRITANIE,1,14709,147090000,0000000,0000000,
"RETACRIT 8000UI/0,8ml",EPOETINUM ZETA,C2,W60970001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"8000UI/0,8ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,8ML SOL. INJ.",HOSPIRA UK LIMITED,MAREA BRITANIE,1,20997,209970000,0000000,0000000,
"RETACRIT 8000UI/0,8ml",EPOETINUM ZETA,C2,W64997001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA01,PR,"8000UI/0,8ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,8 ML SOL. INJ.",PFIZER EUROPE MA EEIG,BELGIA,1,20997,209970000,0000000,0000000,
"ARANESP 100mcg/0,5ml",DARBEPOETINUM ALFA,C2,W41530002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA02,P-RF/R,"100mcg/0,5ml","CUTIE X 4 SERINGI PREUMPLUTE A 1 ML X 0,5 ML",AMGEN EUROPE BV,OLANDA,4,"2.576,42",644105000,0000000,0000000,
"ARANESP 10mcg/0,4ml",DARBEPOETINUM ALFA,C2,W41522002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA02,P-RF/R,"10mcg/0,4ml","CUTIE X 4 SERINGI PREUMPLUTE A 1 ML X 0,4 ML",AMGEN EUROPE BV,OLANDA,4,31437,78592500,0000000,0000000,
"ARANESP 20mcg/0,5ml",DARBEPOETINUM ALFA,C2,W41524002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA02,P-RF/R,"20mcg/0,5ml","CUTIE X 4 SERINGI PREUMPLUTE A 1 ML X 0,5 ML",AMGEN EUROPE BV,OLANDA,4,57169,142922500,0000000,0000000,
"ARANESP 300mcg/0,6ml",DARBEPOETINUM ALFA,C2,W41532001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA02,P-RF/R,"300mcg/0,6ml","CUTIE X 1 SERINGA PREUMPLUTA A 1 ML X 0,6 ML",AMGEN EUROPE BV,OLANDA,1,"1.949,90","1.949,900000",0000000,0000000,
"ARANESP 30mcg/0,3ml",DARBEPOETINUM ALFA,C2,W41525002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA02,P-RF/R,"30mcg/0,3ml","CUTIE X 4 SERINGI PREUMPLUTE A 1 ML X 0,3 ML",AMGEN EUROPE BV,OLANDA,4,82247,205617500,0000000,0000000,
"ARANESP 40mcg/0,4ml",DARBEPOETINUM ALFA,C2,W41526002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA02,P-RF/R,"40mcg/0,4ml","CUTIE X 4 SERINGI PREUMPLUTE A 1 ML X 0,4 ML",AMGEN EUROPE BV,OLANDA,4,"1.072,96",268240000,0000000,0000000,
ARANESP 500mcg/ml,DARBEPOETINUM ALFA,C2,W41533001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA02,P-RF/R,500mcg/ml,CUTIE X 1 SERINGA PREUMPLUTA A 1 ML X 1 ML,AMGEN EUROPE BV,OLANDA,1,"3.201,98","3.201,980000",0000000,0000000,
"ARANESP 50mcg/0,5ml",DARBEPOETINUM ALFA,C2,W41527002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA02,P-RF/R,"50mcg/0,5ml","CUTIE X 4 SERINGI PREUMPLUTE A 1 ML X 0,5 ML",AMGEN EUROPE BV,OLANDA,4,"1.323,54",330885000,0000000,0000000,
"ARANESP 60mcg/0,3ml",DARBEPOETINUM ALFA,C2,W41528002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA02,P-RF/R,"60mcg/0,3ml","CUTIE X 4 SERINGI PREUMPLUTE A 1 ML X 0,3 ML",AMGEN EUROPE BV,OLANDA,4,"1.573,96",393490000,0000000,0000000,
"ARANESP 80mcg/0,4ml",DARBEPOETINUM ALFA,C2,W41529002,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA02,P-RF/R,"80mcg/0,4ml","CUTIE X 4 SERINGI PREUMPLUTE A 1 ML X 0,4 ML",AMGEN EUROPE BV,OLANDA,4,"2.075,12",518780000,0000000,0000000,
"MIRCERA 100mcg/0,3ml",METOXI-POLIETILENGLICOL EPOETINA BETA,C2,W52309001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA03,S/P-RF/R,"100mcg/0,3ml","CUTIE X 1 SERINGA PREUMPLUTA, X 0,3 ML SOL. INJ.",ROCHE REGISTRATION LTD.,MAREA BRITANIE,1,81855,818550000,0000000,0000000,
"MIRCERA 100 micrograme/0,3ml",METOXI-POLIETILENGLICOL EPOETINA BETA,C2,W64391001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA03,PR,"100µg/0,3ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,3 ML SOL. INJ.",ROCHE REGISTRATION GMBH,GERMANIA,1,81855,818550000,0000000,0000000,
"MIRCERA 150mcg/0,3ml",METOXI-POLIETILENGLICOL EPOETINA BETA,C2,W52310001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA03,S/P-RF/R,"150mcg/0,3ml","CUTIE X 1 SERINGA PREUMPLUTA, X 0,3 ML SOL. INJ.",ROCHE REGISTRATION LTD.,MAREA BRITANIE,1,"1.187,32","1.187,320000",0000000,0000000,
"MIRCERA 150 micrograme/0,3ml",METOXI-POLIETILENGLICOL EPOETINA BETA,C2,W64392001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA03,PR,"150µg/0,3ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,3 ML SOL. INJ.",ROCHE REGISTRATION GMBH,GERMANIA,1,"1.187,32","1.187,320000",0000000,0000000,
"MIRCERA 50 mcg/0,3ml",METOXI-POLIETILENGLICOL EPOETINA BETA,C2,W52307001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA03,S/P-RF/R,"50 mcg/0,3ml","CUTIE X 1 SERINGA PREUMPLUTA, X 0,3 ML SOL. INJ.",ROCHE REGISTRATION LTD.,MAREA BRITANIE,1,44415,444150000,0000000,0000000,
"MIRCERA 50 micrograme/0,3ml",METOXI-POLIETILENGLICOL EPOETINA BETA,C2,W64389001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA03,PR,"50 µg/0,3ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,3 ML SOL. INJ.",ROCHE REGISTRATION GMBH,GERMANIA,1,44415,444150000,0000000,0000000,
"MIRCERA 75mcg/0,3ml",METOXI-POLIETILENGLICOL EPOETINA BETA,C2,W52308001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA03,S/P-RF/R,"75mcg/0,3ml","CUTIE X 1 SERINGA PREUMPLUTA, X 0,3 ML SOL. INJ.",ROCHE REGISTRATION LTD.,MAREA BRITANIE,1,63037,630370000,0000000,0000000,
"MIRCERA 75 micrograme/0,3ml",METOXI-POLIETILENGLICOL EPOETINA BETA,C2,W64390001,SOL. INJ. IN SERINGA PREUMPLUTA,B03XA03,PR,"75µg/0,3ml","CUTIE X 1 SERINGA PREUMPLUTA X 0,3 ML SOL. INJ.",ROCHE REGISTRATION GMBH,GERMANIA,1,63037,630370000,0000000,0000000,
CAPD/DPCA 2,COMBINATII,C2,W53456002,SOL. DIAL. PERIT.,B05DB,PR,FARA CONCENTRATIE,CUTIE X 4 PUNGI X 2000 ML SOL. PT. DIALIZA PERITONEALA -SISTEM STAY-SAFE,FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH,GERMANIA,4,9810,24525000,0000000,0000000,
"BALANCE 4,25% GLUCOZA, 1,75 mmol/l calciu",COMBINATII,C2,W13998003,SOL. DIAL. PERIT.,B05DB,PR,FARA CONCENTRATIE,"CUTIE X 4 PUNGI BICOMPARTIMENTATE CONTINAND CATE 2000 ML SOL. PT. DIALIZA PERITONEALA (""STAY SAFE"")",FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH,GERMANIA,4,19654,49135000,0000000,0000000,
CAPD/DPCA 4,COMBINATII,C2,W53458002,SOL. DIAL. PERIT.,B05DB,PR,FARA CONCENTRATIE,CUTIE X 4 PUNG DIN PVC X 2000 ML SOL.PT. DIALIZA PERITONEALA -SISTEM STAY-STAFE,FRESENIUS MEDICAL CARE DEUTSCHLAND GMBH,GERMANIA,4,9810,24525000,0000000,0000000,
